Thread Size,Cable Type,Number of Lamps,Temperature Range,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,Packaging Type,Minimum Operating Temperature,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Humidity Range,Tensile Strength,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,Insulation Material,Housing Material,Grille Material,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Description,Flexibility,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,Model,Cord Diameter,Details,Connector Type,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,Cutout,Cord Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Stages Heat,Composition,Number of Heads,Length,Element Size,Tongue Size,Supplier,Actuator,Hole Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Specifications,Number of Hubs,Number of Gangs,Style,Orientation,Number of Cables,Number of Outlets,Cable Openings,Conductor Material,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Flammability Rating,Radius,Voltage,Lamp Wattage,Peak Surge Current,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Bundle Diameter,Number of Ports,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Stud Size,Bar Length,Operation,UPC,Pipe Size,Standard Pack,Wire Type,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,Trade Size,NEMA Rating,Contact Form,Frequency Rating,Legend Color,Ceiling Opening,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Load Capacity,Contact Rating,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,End Style,Number of Conductors,Horsepower,Adhesion Strength,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,Power Source,Orifice Size,Top to Inlet Center,Tap Size,AC/DC,Conductor Size,Lock Mechanism,Light Output,Cable Size,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,Body Type,Color,Trim Material,Lumens,Seal Material,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Barrel Size,image,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Connection,Interrupt Rating
,,,,,,,,,,,,,,,,,,,,,,,,$34.88,,,,,,,,,,,,,,,,,https://kscdirect.com/item/ASA%2B3114020/Asahi%252FAmerica%252C%2BInc._2%2BAV%2BGASKET%2BTEFLON,,,Valves,,,,,,,,,2 AV GASKET TEFLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Asahi/America, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASA 3114020,,,,,,,,,,,,,,,,,,,,,,,,"Asahi/America, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3114020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 AV GASKET TEFLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3/8 in,,,,,,70-140,,,,$40.35,,,,,,,,,,,,,,,,,https://kscdirect.com/item/CON%2B7014264/Apollo%2BConbraco%2BIndustries_BV%252C3%252F8%2522NPT%252CBRZ%252C250%2BSWP,,,Valves,,,,,,,,,"BV,3/8""NPT,BRZ,250 SWP",,,,,,,,,"Description
Apollo™, 7014264, Ball Valve, 2-Piece, Series: 70-140, 3/8 in Nominal, FNPT End Style, 600 psi CWP Pressure, 500 deg F, Standard Port, Lever Operated Actuator, 316 Stainless Steel Ball, 2.06 in Inlet to Outlet Length, 1-3/4 in Top to Inlet Center, Bronze Body, 316 Stainless Steel Stem/RPTFE Seat Trim, MPTFE Softgoods, Domestic
Features:
64 - 250 lb steam trim (MPTFE seats and packing)
Premium materials and heavy duty construction
Adjustable stem packing gland
Blow-out proof stem
100% factory tested
Vacuum service to 29 in Hg
Zinc plated with vinyl steel lever and grip
150 psig saturated steam
Cold non-shock
Standards/Approval:
ASTM B584 UNS C84400 Body
MSS SP-110
CSA B51
CRN OC10908.5C
PROP65: Cancer and Reproductive Harm
Warranty:
5 Years",,,,,,,,,,,,,,,,,,,,,,,600 psi CWP,,,,,,,,,,,,,,Apollo Conbraco Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4336877,,CON 7014264,,Bronze,,,,,,,,,,,,,,,316 Stainless Steel,,Standard,,,,,Apollo Conbraco Industries,,,,,,,,,,,,2-Piece,,,,,,,670750658648,,Order QTY must be in multiples of 10,,,,,,,,,,,,,,Lever Operated,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,7014264,,,,,,,,,,,,,2.06 in,,,,,,,,,,MPTFE,,,,,FNPT,,,,,,,,,,,,1-3/4 in,,,,,,,,,,,,,,,,,,316 Stainless Steel Stem/RPTFE Seat,,,,,,,"BV,3/8""NPT,BRZ,250 SWP",,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=CON%207014264&mdx=300,,,,,,500 deg F,,,
,,,,,,,,,,,,,,1-1/2 in,,,,,,True Union,,,,$251.00,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B2339-015/Spears_1-1%252F2%2BPVC%2BTU%2BBALVALV%2BSOC%252FTH%2BD%2BVITON,15,,Valves,,,,,,,,,1-1/2 PVC TU BALVALV SOC/TH D VITON,,,,,,,,,"Description
Spears® Ball Valve, Regular Style, Series: True Union, 1-1/2 in Nominal, Socket and FNPT, 235 psi, 140 deg F, T-Handle Actuator, PVC Ball, 8-1/32 in Inlet to Outlet Length, 3-9/32 in Top to Inlet Center, PVC Body, PVC Stem and PTFE Seat Trim, FKM, Gray, Domestic
Features:
Chemical and corrosion resistant PVC or CPVC construction
SCH 80/XH full bore design
Strong, buttress thread union nuts
Fully Serviceable, replaceable Components
Spears® Safe-T-Blocked® seal Carrier
Self adjusting PTFE Floating seat Design
High impact polypropylene handle
Spears® Safe-T-Shear® stem design
EPDM valves NSF® certified for potable water use
Suitable for vacuum service
Assembled with silicone-free, water soluble lubricant
FKM O-ring
Standards/Approval:
ASTM D1784/F1970
NSF Approved",,,,,,,,,,,,,,,,,,,,,,,235 psi,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5424535,,SPE 2339-015,,PVC,,,,,,,,,,,,,,,PVC,,,,,,,Spears,,,,,,,,,,,,Regular Style,,,,,,,054211506240,,,,,,,,,,,,,,,,T-Handle,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,2339-015,,,,,,,,,,,,,8-1/32 in,,,,,,,,,,FKM,,,,,Socket and FNPT,,,,,,,,,,,,3-9/32 in,,,,,,,,,,,,,,,,,Gray,PVC Stem and PTFE Seat,,,,,,,1-1/2 PVC TU BALVALV SOC/TH D VITON,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%202339-015&mdx=300,,,,,,140 deg F,,,
,,,,,,,,,,,,,,,,,,,,,,,,$160.52,,,,,,,,,,,,,,,,,https://kscdirect.com/item/ASC%2B302276/Automatic%2BSwitch%2BCompany_REBUILD%2BKIT%2B8210%2BAC,8,,Valves,,,,,,,,,REBUILD KIT 8210 AC,,,,,,,,,"Description
Asco Rebuild Kit, For Use With: Model 8210G095/EF8210G095/JKF8210G095/SC8210G095 2/2 NC 3/4 in General Service Solenoid Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatic Switch Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4280264,,ASC 302276,,,,,,,,,,,,,,,,,,,,,,,,Automatic Switch Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Model 8210G095/EF8210G095/JKF8210G095/SC8210G095 2/2 NC 3/4 in General Service Solenoid Valve,,,,REBUILD KIT 8210 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$174.28,,,,,,,,,,,,,,,,,https://kscdirect.com/item/ASC%2B302273-V/Automatic%2BSwitch%2BCompany_REBUILD%2BKIT%2B8210%2BAC,6,,Valves,,,,,,,,,REBUILD KIT 8210 AC,,,,,,,,,"Catalog #
302273-V      Standard Voltage
KITS
REBUILD KIT 8210 AC
Technical Information
I&M General
V9810.pdf
Seating Elastomer
FKM
Availability
-  Orders with a maximum quantity of 25 pieces placed by 3:00 PM EST are guaranteed to ship the same business day or ASCO pays the freight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatic Switch Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC 302273-V,,,,,,,Standard Voltage,,,,,,,,,,,,,,,,,Automatic Switch Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302273-V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REBUILD KIT 8210 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$103.16,,,,,,,,,,,,,,,,,https://kscdirect.com/item/CRV%2B428%2B1%252F2/Crane%2BEnergy%2BFlow%2BSolutions_1%252F2%2B428%2BCRANE%2BGATE%2BVALVE%2BSize%253A%2B1%252F2%2522,10,,Valves,,,,,,,,,"1/2 428 CRANE GATE VALVE Size: 1/2""",,,,,,,,,"1/2 428 CRANE GATE VALVE
View catalog page
Keywords: CRANVL CRV 428 1/2  CRANE COMPANY - VALVE DIV CRANVL00490          1/2 428 CRANE GATE VALVE
Category:
[0] => VALVES => GATE VALVES => BRONZE - THREADED - CLASS 125
[1] => SUPPLIER DIRECTORY => CRANE COMPANY - VALVE DIV => VALVES => GATE VALVES => BRONZE - THREADED - CLASS 125
Kelly Legacy Part Number: 1084303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crane Energy Flow Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRV 428 1/2,,,,,,,,,,,,,,,,,,,,,,,,Crane Energy Flow Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428*004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/2 428 CRANE GATE VALVE Size: 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1-1/2 in,,,,,,U45TB-E,,,,$101.97,,,,,,,,,,,,,,,,,https://kscdirect.com/item/NIB%2BU45TB-E%2B1-1%252F2/NIBCO%2BINC_1-1%252F2%2BPVC-EPDM%2BTRUE%2BUNION%2BBALL%2BVALVE,2,,Valves,,,,,,,,,1-1/2 PVC-EPDM TRUE UNION BALL VALVE,,,,,,,,,"Description
Chemtrol® Universal End True Union Ball Valve, Series: U45TB-E, 1-1/2 in Nominal, Socket x FNPT, 250 psi, 140 deg F, Full Port, Media: Water, 1-1/2 in Orifice, Ergonomic Handle Actuator, PVC Ball, 10.05 in Inlet to Outlet Length, 3.91 in Top to Inlet Center, PVC Body, PVC/PTFE Trim, EPDM/FKM, Domestic
Features:
Valve pressure rating 250 psi at 73 deg F water non-shock
True Bloc® design
EPDM O-rings
Orange handle
Do not test or use with compressed air or other gases
PVC stem and PTFE seat
Applications:
Chemical Processing, Industrial Plating, Chilled Water Distribution, Chemical Drainage and Irrigation Systems
Standards/Approval:
ASTM F1970
Annex G
NSF/ANSI 14/61
Warranty:
1 Year Limited",,,,,,,,,,,,,,,,,,,,,,,250 psi,,,,,,,,,,,,,,NIBCO INC,,,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5267850,,NIB U45TB-E 1-1/2,,PVC,,,,,,,,,,,,,,,PVC,,Full,,,,,NIBCO INC,,,,,,,,,,,,,,,,,,,039923322050,,,,,,,,,,,,,,,,Ergonomic Handle,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,MA932UC,,,,,,,,,,,,,10.05 in,,,,,,,,,,FKM,,,,,Socket x FNPT,,,,,,,,,,,1-1/2 in,3.91 in,,,,,,,,,,,,,,,,,,PVC Stem and PTFE Seat,,,,,,,1-1/2 PVC-EPDM TRUE UNION BALL VALVE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NIB%20U45TB-E%201-1%2F2&mdx=300,,,,,,73 deg F,,,
,,,,,,,,,,,,,,,,,,,,,,,,$7.83,,,,,,,,,,,,,,,,,https://kscdirect.com/item/KIN%2B112C%2B1%252F4X165/Approved%2BSupplier_1%252F4%2BX%2B165%2523%2BFIG%2B112CSS-2-000%2B%2BAIR%2BRELIEF%2BVALVE%2BSRH25-165,27,,Valves,,,,,,,,,1/4 X 165# FIG 112CSS-2-000  AIR RELIEF VALVE SRH25-165,,,,,,,,,"Precision machined with hard seat.
Every safety valve set and tested at factory for quality and dependability.
Model 112C safety relief valves are of brass construction with a precision machined seat.
Available in three types:
1) 112C Â­Brass body with chrome ball.
All models have pull rings for manual testing. Set pressure tolerance +/-3%. Stamped with UV + NB symbols. Registered in all Canadian provinces and territories.
Set pressure range 25-300 PSIG.
Max. temp. 250F.
View catalog page
Keywords: FCKING KIN 112C 1/4X165  F C  KINGSTON CO FCKING00010          1/4 X 165# FIG 112C KINGSTON RELIEF VALV
Category:
[0] => HVAC & HYDRONICS => HYDRONICS => RELIEF VALVES
[1] => SUPPLIER DIRECTORY => F C  KINGSTON CO => HVAC & HYDRONICS => HYDRONICS => RELIEF VALVES
Kelly Legacy Part Number: 2312075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIN 112C 1/4X165,,,,,,,,,,,,,,,,,,,,,,,,Approved Supplier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SRH25-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 X 165# FIG 112CSS-2-000  AIR RELIEF VALVE SRH25-165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3/4 in,,,,,,208B,,,,$28.47,,,,,,,,,,,,,,,,,https://kscdirect.com/item/RW%2B208B%2B3%252F4/RED-WHITE%2BVALVE%2BCORP_RED-WHITE%2B208B%2B3%252F4%2BBRONZE%2BGATE%2BVALVE,19,,Valves,,,,,,,,,RED-WHITE 208B 3/4 BRONZE GATE VALVE,,,,,,,,,"Description
RWV® Gate Valve, Standard, Series: 208B, 3/4 in Nominal, Thread End Style, 200 lb WOG/125 lb WSP Pressure, Handwheel Actuator, 2.2 in Inlet to Outlet Length, 5.43 in Top to Inlet Center, Cast Bronze Body, Aluminum/DZR Brass Trim, Graphite Packing Ring Softgoods, 2.36 in Diameter Hand Wheel
Applications:
Commercial/Industrial
Standards/Approval:
MSS-SP-80
C83600 Body
C35330 Stem
B3105 Disc
A03840 Handwheel",,,,,,,,,,,,,,,,,,,,,,,200 lb WOG/125 lb WSP,,,,,,,,,,,,,,RED-WHITE VALVE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5387820,,RW 208B 3/4,,Cast Bronze,,,,,,,,,,,,,,,,,,,,,,RED-WHITE VALVE CORP,,,,,,,,,,,,Standard,,,,,,,670779711751,,,,,,,,,,,,,,,,Handwheel,,,,,,,,,,,,,,,,,,,,,,,,,,,208B 3/4,,,,,,,,,,,,,2.2 in,,,,,,,,,,Graphite Packing Ring,,,,,Thread,,,,,,,,2.36 in,,,,5.43 in,,,,,,,,,,,,,,,,,,Aluminum/DZR Brass,,,,,,,RED-WHITE 208B 3/4 BRONZE GATE VALVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1-1/2 in,,,,,,208B,,,,$80.05,,,,,,,,,,,,,,,,,https://kscdirect.com/item/RW%2B208B%2B1-1%252F2/RED-WHITE%2BVALVE%2BCORP_RED-WHITE%2B208B%2B1-1%252F2%2BBRONZE%2BGATE%2BVALVE,15,,Valves,,,,,,,,,RED-WHITE 208B 1-1/2 BRONZE GATE VALVE,,,,,,,,,"Description
RWV® Gate Valve, Standard, Series: 208B, 1-1/2 in Nominal, Thread End Style, 200 lb WOG/125 lb WSP Pressure, Handwheel Actuator, 2.99 in Inlet to Outlet Length, 9.05 in Top to Inlet Center, Cast Bronze Body, Aluminum/DZR Brass Trim, Graphite Packing Ring Softgoods, 3.35 in Diameter Hand Wheel
Applications:
Commercial/Industrial
Standards/Approval:
MSS-SP-80
C83600 Body
C35330 Stem
B3105 Disc
A03840 Handwheel",,,,,,,,,,,,,,,,,,,,,,,200 lb WOG/125 lb WSP,,,,,,,,,,,,,,RED-WHITE VALVE CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5391114,,RW 208B 1-1/2,,Cast Bronze,,,,,,,,,,,,,,,,,,,,,,RED-WHITE VALVE CORP,,,,,,,,,,,,Standard,,,,,,,670779711782,,,,,,,,,,,,,,,,Handwheel,,,,,,,,,,,,,,,,,,,,,,,,,,,208B 1-1/2,,,,,,,,,,,,,2.99 in,,,,,,,,,,Graphite Packing Ring,,,,,Thread,,,,,,,,3.35 in,,,,9.05 in,,,,,,,,,,,,,,,,,,Aluminum/DZR Brass,,,,,,,RED-WHITE 208B 1-1/2 BRONZE GATE VALVE,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=RW%20208B%201-1%2F2&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,1-1/4 in,,,,,,True Union 2000,,,,$124.83,,,,,,,,,,,,,,,,,https://kscdirect.com/item/SPE%2B1839-012/Spears_1-1%252F4%2BPVC%2BTU2K%2BIND%2BBALL%2BVLV%2BSOC%252FFPT%2BFKM,4,,Valves,,,,,,,,,1-1/4 PVC TU2K IND BALL VLV SOC/FPT FKM,,,,,,,,,"Description
Spears® Ball Valve, Industrial, Series: True Union 2000, 1-1/4 in Nominal, Socket and FNPT, 235 psi, 140 deg F, T-Handle Actuator, PVC Ball, 5-13/16 in Inlet to Outlet Length, 3-5/8 in Top to Inlet Center, PVC Body, PVC Stem and PTFE Seat Trim, FKM, Gray, Domestic
Features:
Chemical and corrosion resistant PVC or CPVC construction
Strong, buttress thread union nuts
Spears® Safe-T-Blocked® seal carrier
Assembled with silicone-free, water soluble lubricant
Suitable for either horizontal or vertical installations and vacuum service
FKM O-ring",,,,,,,,,,,,,,,,,,,,,,,235 psi,,,,,,,,,,,,,,Spears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5524617,,SPE 1839-012,,PVC,,,,,,,,,,,,,,,PVC,,,,,,,Spears,,,,,,,,,,,,Industrial,,,,,,,054211942963,,,,,,,,,,,,,,,,T-Handle,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,1839-012,,,,,,,,,,,,,5-13/16 in,,,,,,,,,,FKM,,,,,Socket and FNPT,,,,,,,,,,,,3-5/8 in,,,,,,,,,,,,,,,,,Gray,PVC Stem and PTFE Seat,,,,,,,1-1/4 PVC TU2K IND BALL VLV SOC/FPT FKM,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=SPE%201839-012&mdx=300,,,,,,140 deg F,,,
,,,,,,,,,,,,,,,,,,,,,,,,$2.74,,,,,,,,,,,,,,,,,https://kscdirect.com/item/APO%2BC153200%2BNUT/Apollo%2BConbraco%2BIndustries_NUT%252CHEX%252C3%252F8-24%252C304SS,25,,Valves,,,,,,,,,"NUT,HEX,3/8-24,304SS",,,,,,,,,"Description
Apollo™, C153200, Hex Nut, Serrated, Specifications: 3/8-24, 304 Stainless Steel
Standards/Approval:
PROP65: Cancer and Reproductive Harm - www.P65Warnings.ca.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apollo Conbraco Industries,,,,,,,,3/8-24,,,,,,,,,,,,,,,,,,,,,,,,,APO C153200 NUT,,,,,,,,,,,,,,,,,,,,,,,,Apollo Conbraco Industries,,,,,,,,,,,,Serrated,,,,,,,670750048654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C153200,,,,,304 Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUT,HEX,3/8-24,304SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$298.12,,,,,,,,,,,,,,,,,https://kscdirect.com/item/ASC%2B8220G406%2B120%252F60%252C110%252F50/Automatic%2BSwitch%2BCompany_Asco%2B1%252F2%2522%2B8220G406%2B2-Way%2BSolenoid%2BValve%2B-%2B120V%252F60Hz,2,,Valves,,,,,,,,,"Asco 1/2"" 8220G406 2-Way Solenoid Valve - 120V/60Hz",,,,,,,,,"Catalog #
8220G406      120/60,110/50
VALVE UNIT
-   2W                      NC
Technical Information
Body Material
Brass
Carton Notes
RPLS 8220G021
Coil Class
HT
Coil Number
238810-032-D
Cv/Kv (Pressure Port)
4.70  Cv
-                                                                4.07  Kv
Drawing Number
291740
I&M Pressure Vessel
V_9571_R6.pdf
I&M Solenoid
V6950R7.pdf
I&M Solenoid
V_6584_R16_sec1.pdf
I&M Solenoid
V_6584_R16_sec2.pdf
Inlet Pipe Size (NPT)
1/2
Max Ambient Temperature
140  F                                                                -                                                                60  C
Max Fluid Temperature
210  F                                                                -                                                                99  C
Min Ambient Temperature
32  F                                                                -                                                                0  C
Min Fluid Temperature
32  F                                                                -                                                                0  C
Mounting Direction
ANY
Orifice Size
1/2 in
Pressure Vessel Number
248279-001
Seating Elastomer
PTFE
Watt Rating A
10.10  W
Availability
-  Orders with a maximum quantity of 25 pieces placed by 3:00 PM EST are guaranteed to ship the same business day or ASCO pays the freight.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatic Switch Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASC 8220G406 120/60,110/50",,Brass,,,,,"120/60,110/50",,,,,,,,,,,,,,,,,Automatic Switch Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8220G406AC120/60,110/50D",,,,,Brass,,,,,1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC,,,,,1/2 in,,,,,,,,,,,,,,,,,,"Asco 1/2"" 8220G406 2-Way Solenoid Valve - 120V/60Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1/2 in,,,,,,71-500,,,,$138.48,,,,,,,,,,,,,,,,,https://kscdirect.com/item/APO%2B71-503-01/Apollo%2BConbraco%2BIndustries_1%252F2%2BBRONZE%2BDEAD%2BMAN,3,,Valves,,,,,,,,,1/2 BRONZE DEAD MAN,,,,,,,,,"Description
Apollo™, 7150301, Ball Valve, 2-Piece, Series: 71-500, 1/2 in Nominal, FNPT End Style, 600 psi CWP Pressure, Standard Port, Media: Water, Spring Return Handle Actuator, Chrome Plated Brass Ball, 2-1/4 in Inlet to Outlet Length, 7 in Top to Inlet Center, Bronze Body, PTFE Softgoods, Domestic
Features:
All components of lever are stainless steel
Operating torque is approximately three times standard valve torque
Reinforced seat
Blow-out proof stem design
Vacuum service to 29 in Hg
Stainless steel with vinyl handle
Steel, zinc plated lever nut
150 psig saturated steam
Standards/Approval:
ASTM B584-C84400 Valve Body
ASTM B16 Ball
ASTM A276 Stem
MSS SP-110
PROP65: Cancer and Reproductive Harm
Warranty:
5 Years",,,,,,,,,,,,,,,,,,,,,,,600 psi CWP,,,,,,,,,,,,,,Apollo Conbraco Industries,,,,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=4421909,,APO 71-503-01,,Bronze,,,,,,,,,,,,,,,Chrome Plated Brass,,Standard,,,,,Apollo Conbraco Industries,,,,,,,,,,,,2-Piece,,,,,,,670750679742,,,,,,,,,,,,,,,,Spring Return Handle,,,,,,,,,,,,,,,,,,,,,Domestic,,,,,,7150301,,,,,,,,,,,,,2-1/4 in,,,,,,,,,,PTFE,,,,,FNPT,,,,,,,,,,,,7 in,,,,,,,,,,,,,,,,,,Brass,,,,,,,1/2 BRONZE DEAD MAN,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=APO%2071-503-01&mdx=300,,,,,,,,,
